"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"23.02.2024","30,19","31,00","31,00","30,13","220,84K","-0,30%"
"22.02.2024","30,28","29,09","30,28","29,09","161,88K","0,66%"
"21.02.2024","30,08","30,38","30,38","30,05","59,48K","-1,83%"
"20.02.2024","30,64","30,79","30,79","30,61","44,48K","-2,17%"
"16.02.2024","31,32","31,12","31,49","31,12","36,15K","1,49%"
"15.02.2024","30,86","30,99","30,99","30,73","46,19K","1,65%"
"14.02.2024","30,36","30,17","30,37","30,17","104,10K","0,16%"
"13.02.2024","30,31","31,44","31,44","30,00","464,97K","-2,00%"
"12.02.2024","30,93","30,73","31,06","30,18","34,80K","0,91%"
"09.02.2024","30,65","30,77","30,86","30,65","289,36K","-0,68%"
"08.02.2024","30,86","30,77","30,86","30,77","111,07K","-0,45%"
"07.02.2024","31,00","30,92","31,16","30,78","40,95K","-0,51%"
"06.02.2024","31,16","31,25","31,38","31,10","43,83K","-2,10%"
"05.02.2024","31,83","31,49","31,98","31,33","263,40K","5,43%"
"02.02.2024","30,19","30,00","30,20","30,00","222,64K","6,00%"
"01.02.2024","28,48","28,78","28,78","28,36","297,95K","5,13%"
"31.01.2024","27,09","27,75","27,75","26,77","222,43K","-3,73%"
"30.01.2024","28,14","28,18","28,28","28,08","914,00K","-0,25%"
"29.01.2024","28,21","28,04","28,50","27,95","745,58K","0,53%"
"26.01.2024","28,06","28,03","28,06","27,94","90,89K","-0,64%"
"25.01.2024","28,24","28,28","28,40","28,20","73,76K","-1,57%"
"24.01.2024","28,69","29,03","29,03","28,69","533,97K","2,21%"
"23.01.2024","28,07","28,30","28,30","27,76","219,47K","-0,74%"
"22.01.2024","28,28","27,82","28,33","27,82","68,52K","3,86%"
"19.01.2024","27,23","27,07","27,25","27,04","65,22K","1,08%"
"18.01.2024","26,94","26,90","26,94","26,78","67,16K","2,63%"
"17.01.2024","26,25","26,55","26,55","26,15","64,14K","-4,61%"
"16.01.2024","27,52","27,88","27,88","27,50","61,36K","-4,54%"
"12.01.2024","28,83","28,97","28,97","28,74","190,57K","0,95%"
"11.01.2024","28,56","28,45","28,56","28,28","80,92K","-0,17%"
"10.01.2024","28,61","28,67","28,70","28,51","69,32K","-1,85%"
"09.01.2024","29,15","29,27","29,27","29,14","50,57K","-2,02%"
"08.01.2024","29,75","28,26","30,00","28,26","35,41K","1,02%"
"05.01.2024","29,45","29,39","29,62","28,21","62,97K","-0,41%"
"04.01.2024","29,57","29,79","30,00","29,57","38,88K","-0,50%"
"03.01.2024","29,72","29,50","29,72","29,48","37,04K","0,13%"
"02.01.2024","29,68","29,69","30,62","29,56","46,95K","-1,17%"
