"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"23.02.2024","35,82","35,79","35,90","35,68","756,45K","0,22%"
"22.02.2024","35,74","35,68","36,03","35,54","1,62M","2,29%"
"21.02.2024","34,94","34,79","34,97","34,73","705,12K","0,90%"
"20.02.2024","34,63","34,80","34,85","34,53","578,73K","-0,32%"
"16.02.2024","34,74","34,79","34,92","34,67","667,06K","-0,23%"
"15.02.2024","34,82","34,28","34,85","34,28","1,08M","2,93%"
"14.02.2024","33,83","33,88","33,88","33,58","908,55K","-0,68%"
"13.02.2024","34,06","34,21","34,28","33,88","1,59M","-1,22%"
"12.02.2024","34,48","34,27","34,61","34,27","603,59K","0,35%"
"09.02.2024","34,36","34,42","34,56","34,24","1,17M","-2,28%"
"08.02.2024","35,16","34,73","35,18","34,64","1,01M","0,66%"
"07.02.2024","34,93","34,87","34,98","34,79","856,32K","1,48%"
"06.02.2024","34,42","34,15","34,55","34,13","986,38K","1,65%"
"05.02.2024","33,86","34,07","34,11","33,56","941,76K","0,98%"
"02.02.2024","33,53","33,49","33,56","33,28","852,32K","-0,71%"
"01.02.2024","33,77","33,67","33,82","33,41","709,72K","0,84%"
"31.01.2024","33,49","33,62","33,87","33,49","1,10M","0,33%"
"30.01.2024","33,38","33,39","33,49","33,33","681,97K","0,12%"
"29.01.2024","33,34","33,16","33,37","33,07","1,15M","2,62%"
"26.01.2024","32,49","32,30","32,51","32,29","569,27K","0,71%"
"25.01.2024","32,26","32,29","32,31","32,12","664,71K","0,19%"
"24.01.2024","32,20","32,30","32,43","32,17","1,16M","-0,56%"
"23.01.2024","32,38","32,31","32,42","32,22","795,39K","-0,55%"
"22.01.2024","32,56","32,56","32,62","32,46","753,53K","0,62%"
"19.01.2024","32,36","32,23","32,36","31,99","1,05M","-1,01%"
"18.01.2024","32,69","32,52","32,73","32,42","1,11M","2,64%"
"17.01.2024","31,85","31,70","31,87","31,70","797,15K","-0,62%"
"16.01.2024","32,05","32,00","32,14","31,92","950,59K","-0,31%"
"12.01.2024","32,15","32,21","32,35","32,07","1,04M","-0,09%"
"11.01.2024","32,18","32,46","32,50","32,10","1,24M","0,25%"
"10.01.2024","32,10","32,01","32,13","31,97","1,43M","1,90%"
"09.01.2024","31,50","31,69","31,70","31,46","975,01K","-1,65%"
"08.01.2024","32,03","31,77","32,03","31,64","1,33M","0,88%"
"05.01.2024","31,75","31,62","32,05","31,62","956,50K","2,42%"
"04.01.2024","31,00","31,03","31,27","30,98","1,25M","1,31%"
"03.01.2024","30,60","30,65","30,78","30,57","1,03M","-0,62%"
"02.01.2024","30,79","30,69","30,95","30,68","664,23K","-0,39%"
"29.12.2023","30,91","30,97","31,04","30,83","733,60K","0,85%"
"28.12.2023","30,65","30,60","30,72","30,60","443,43K","0,46%"
"27.12.2023","30,51","30,50","30,57","30,42","558,66K","-0,29%"
"26.12.2023","30,60","30,38","30,71","30,38","480,71K","0,03%"
"22.12.2023","30,59","30,58","30,78","30,50","692,75K","0,10%"
